a52dec 0.7.4-9
haskell-conduit-extra 1.1.13.1-5
haskell-connection 0.2.5-22
haskell-contravariant 1.4-8
haskell-cookie 0.4.2-1
haskell-cryptohash 0.11.9-3
haskell-cryptohash-conduit 0.1.1-27
haskell-cryptonite 0.15-1
haskell-data-default 0.6.0-1
haskell-data-default-class 0.0.1-10
haskell-data-default-instances-base 0.1.0-1
haskell-data-default-instances-containers 0.0.1-10
haskell-data-default-instances-dlist 0.0.1-11
haskell-data-default-instances-old-locale 0.0.1-10
haskell-digest 0.0.1.2-2
haskell-distributive 0.5.0.2-8
haskell-dlist 0.7.1.2-2
haskell-dlist-instances 0.1-7
haskell-easy-file 0.2.1-1
haskell-edit-distance 0.2.2.1-2
haskell-either 4.4.1.1-1
haskell-enclosed-exceptions 1.0.1.1-7
haskell-errors 2.1.2-1
haskell-exceptions 0.8.2.1-2
haskell-extensible-exceptions 0.1.1.4-13
haskell-extra 1.4.6-1
haskell-fail 4.9.0.0-1
haskell-fast-logger 2.4.6-2
haskell-file-embed 0.0.10-1
haskell-filelock 0.1.0.1-1
haskell-free 4.12.4-13
haskell-fsnotify 0.2.1-3
haskell-generics-sop 0.2.1.0-1
haskell-ghc-paths 0.1.0.9-11
haskell-gitrev 1.2.0-1
haskell-glob 0.7.5-1
haskell-haddock-api 2.16.1-3
haskell-haddock-library 1.2.1-2
haskell-hashable 1.2.4.0-3
haskell-hastache 0.6.1-4
haskell-hinotify 0.3.8.1-1
haskell-hourglass 0.2.10-1
haskell-hpack 0.14.0-1
haskell-http-api-data 0.2.2-3
haskell-http-client 0.4.28-4
haskell-http-client-tls 0.2.4-7
haskell-http-conduit 2.1.10.1-5
haskell-http-types 0.9-8
haskell-ieee754 0.7.6-1
haskell-kan-extensions 5.0.1-13
haskell-keys 3.11-13
haskell-lifted-base 0.2.3.6-6
haskell-memory 0.12-1
haskell-microlens 0.4.3.0-1
haskell-mime-types 0.1.0.7-1
haskell-mmorph 1.0.6-1
haskell-monad-control 1.0.1.0-1
haskell-monad-logger 0.3.18-20
haskell-monad-loops 0.4.3-2
haskell-monadrandom 0.4.2.3-1
haskell-mono-traversable 0.10.2-5
haskell-mtl 2.2.1-5
haskell-mwc-random 0.13.4.0-1
haskell-network 2.6.2.1-5
haskell-network-info 0.2.0.8-2
haskell-network-uri 2.6.1.0-2
haskell-old-locale 1.0.0.7-7
haskell-old-time 1.1.0.3-7
haskell-open-browser 0.2.1.0-1
haskell-optparse-applicative 0.12.1.0-1
haskell-optparse-simple 0.0.3-21
haskell-parsec 3.1.11-1
haskell-path 0.5.7-1
haskell-path-io 1.1.0-1
haskell-path-pieces 0.2.1-4
haskell-pem 0.2.2-2
haskell-persistent 2.2.4.1-16
haskell-persistent-sqlite 2.2.1-16
haskell-persistent-template 2.1.6-17
haskell-pointed 5-13
haskell-prelude-extras 0.4.0.3-1
haskell-primitive 0.6.1.0-1
haskell-profunctors 5.2-13
haskell-project-template 0.2.0-24
haskell-random 1.1-5
haskell-resource-pool 0.2.3.2-9
haskell-resourcet 1.1.7.4-1
haskell-retry 0.7.2-1
haskell-safe 0.3.9-1
haskell-scientific 0.3.4.6-2
haskell-semigroupoids 5.0.1-13
haskell-semigroups 0.18.1-4
haskell-setlocale 1.0.0.3-3
haskell-sha 1.6.4.2-5
haskell-silently 1.2.5-2
haskell-socks 0.5.5-1
haskell-split 0.2.3.1-1
haskell-stack 1.1.0-6
haskell-statevar 1.1.0.4-1
