a52dec 0.7.4-9
slang 2.3.0-1
smartmontools 6.5-1
smbclient 4.4.4-1
smpeg 0.4.5-2
snappy 1.1.3-2
socat 1.7.3.1-2
soundtouch 1.9.2-1
spandsp 0.0.6-1
speech-dispatcher 0.8.4-2
speex 1.2rc2-1
speexdsp 1.2rc3-2
spice 0.12.7-1
spice-glib 0.32-1
spice-gtk3 0.32-2
spotify 1.0.16.104-1
sqlite 3.13.0-1
squashfs-tools 4.3-4
squeak-vm 4.10.2.2614-3
sshfs 2.7-1
st 0.6-3
stack 1.1.2-10
startup-notification 0.12-4
strace 4.12-1
subversion 1.9.4-1
sudo 1.8.16-1
suitesparse 4.4.5-1
sysfsutils 2.1.0-9
systemd 230-5
systemd-sysvcompat 230-5
t1lib 5.1.2-5
taglib 1.11-1
talloc 2.1.7-1
tar 1.29-1
tcpdump 4.7.4-1
tdb 1.3.8-1
tevent 0.9.28-1
texinfo 6.1-4
texlive-bibtexextra 2015.38806-1
texlive-bin 2015.37497-12
texlive-core 2015.38835-1
texlive-fontsextra 2015.38746-1
texlive-formatsextra 2015.36217-1
texlive-games 2015.38457-1
texlive-genericextra 2015.38503-1
texlive-htmlxml 2015.38712-1
texlive-humanities 2015.38717-1
texlive-latexextra 2015.38831-1
texlive-music 2015.38340-1
texlive-pictures 2015.38755-1
texlive-plainextra 2015.38696-1
texlive-pstricks 2015.38821-1
texlive-publishers 2015.38832-1
texlive-science 2015.38824-1
thin-provisioning-tools 0.6.1-2
tmux 2.2-1
transcode 1.1.7-19
transmission-cli 2.92-1
tslib 1.1-1
ttf-dejavu 2.35-1
ttf-ubuntu-font-family 0.83-1
tzdata 2016e-1
unzip 6.0-12
urlgrabber 3.10.1-2
usbredir 0.7-1
usbutils 008-1
util-linux 2.28-1
v4l-utils 1.10.1-1
vde2 2.3.2-8
vi 1:070224-2
vid.stab 1.1-1
videoproto 2.3.3-1
vim 7.4.1910-1
vim-jedi 0.8.0-2
vim-runtime 7.4.1910-1
virglrenderer 0.5.0-1
virt-install 1.4.0-1
virt-manager 1.4.0-1
virtualbox 5.0.22-1
virtualbox-guest-iso 5.0.22-1
virtualbox-host-dkms 5.0.22-1
vlc 2.2.4-1
vnstat 1.15-1
vte-common 0.44.2-1
vte3 0.44.2-1
wavpack 4.80.0-1
wayland 1.11.0-1
wayland-protocols 1.4-1
webkit2gtk 2.12.3-1
webrtc-audio-processing 0.3-1
wget 1.18-1
which 2.21-2
wildmidi 0.3.9-1
wiredtiger 2.8.0-1
wxgtk 3.0.2-5
x11-ssh-askpass 1.2.4.1-5
x265 1.9-1
xaw3d 1.6.2-2
xbitmaps 1.1.1-3
xcb-proto 1.12-2
xcb-util 0.4.0-1
xcb-util-image 0.4.0-1
xcb-util-keysyms 0.4.0-1
xcb-util-wm 0.4.1-1
xclip 0.12.git.20160201-1
xdg-utils 1.1.1-2
xdotool 3.20150503.1-1
xextproto 7.3.0-1
xf86-input-evdev 2.10.3-1
xf86-video-intel 1:2.99.917+670+gcac7c8d-1
xf86dgaproto 2.1-3
xf86vidmodeproto 2.3.1-3
xfsprogs 4.5.0-1
xine-lib 1.2.6-9
xineramaproto 1.2.1-3
xkeyboard-config 2.18-1
xmonad 0.12-3
xmonad-contrib 0.12-2
xorg-bdftopcf 1.0.5-1
xorg-font-util 1.3.1-1
xorg-font-utils 7.6-4
xorg-fonts-alias 1.0.3-1
xorg-fonts-encodings 1.0.4-4
xorg-fonts-misc 1.0.3-4
xorg-iceauth 1.0.7-1
xorg-luit 1.1.1-2
xorg-mkfontdir 1.0.7-2
xorg-mkfontscale 1.1.2-1
xorg-server 1.18.3-2
xorg-server-common 1.18.3-2
xorg-server-utils 7.6-4
xorg-sessreg 1.1.0-1
xorg-setxkbmap 1.3.1-1
xorg-xauth 1.0.9-1
xorg-xbacklight 1.2.1-1
xorg-xcmsdb 1.0.5-1
xorg-xgamma 1.0.6-1
xorg-xhost 1.0.7-1
xorg-xinit 1.3.4-4
xorg-xinput 1.6.2-1
xorg-xkbcomp 1.3.1-1
xorg-xmodmap 1.0.9-1
xorg-xrandr 1.5.0-1
xorg-xrdb 1.1.0-2
xorg-xrefresh 1.0.5-1
xorg-xset 1.2.3-1
xorg-xsetroot 1.1.1-2
xproto 7.0.29-1
xsel 1.2.0-6
xterm 325-1
xv 3.10a-18
xvidcore 1.3.4-1
xz 5.2.2-1
yajl 2.1.0-1
yaml-cpp 0.5.3-1
zeromq 4.1.5-1
zip 3.0-7
zita-alsa-pcmi 0.2.0-3
zita-resampler 1.3.0-5
zlib 1.2.8-4
zsh 5.2-1
zvbi 0.2.35-1
zziplib 0.13.62-2
